id;external_code;name;name_so;database_version_id;id_regional_energy_system;id_regional_district
8673;0ff7544b-4f33-58f4-a3b4-825ed5f608ff;ТЭЦ Свеза Тюмень;;22;883;982
8585;7b99dc6c-203f-51a0-961e-b10f7d2a4435;ТЭЦ Синергия;;22;875;974
7776;1e5ed958-93a7-5d66-9d10-7a2b0dbf72dc;ТЭЦ СЛАНЦЫ;;22;824;933
7735;72c41b54-afa3-5103-9a8c-8617f56cc9c1;ТЭЦ СЛПК;;22;862;959
7943;9d2391ce-80b1-5b9f-92a0-fa44f97ff105;ТЭЦ Спецзавод №2 (Спецзавод №2);;22;823;937
7780;5ef7b92c-e9ea-5f96-a810-7f4640a2cf90;ТЭЦ Сясьский ЦБК;;22;824;933
8699;d8e71342-89b0-5813-9118-f5cf748e631d;ТЭЦ УралАЗ;;22;888;987
8567;be314a34-db38-54be-b26a-d45e6805017c;ТЭЦ Уральского турбомоторного завода (ТЭЦ ТМЗ);;22;875;974
7965;aa24cbb4-5580-5e34-8d20-b7e8b9475535;ТЭЦ филиала «ВМУ» в г. Воскресенске;;22;823;938
8052;45057e8d-fa3b-515e-8fd4-ff20975d6e6a;ТЭЦ ФКП «Завода имени Я.М. Свердлова»;;22;846;941
7862;2f39c470-d823-50c7-90ab-293cd953330e;ТЭЦ ФосАгро-Череповец;;22;821;914
7781;5e6889af-d125-590c-bf8b-c2b4355fe851;ТЭЦ Фосфорит;;22;824;933
7894;f4cb8494-9d11-5469-8d40-cc3a6a7ec5c2;ТЭЦ ФЭИ;;22;832;923
8126;b9cee5c4-ec08-557a-9dcc-d21a7c4863df;ТЭЦ Хаят Кимья;;22;868;965
8549;652647ad-cc95-5601-85be-3803310fe829;ТЭЦ Химпром (ТЭС АО «Камтэкс-Химпром»);;22;853;948
8695;ab37b68e-6146-54cc-bc83-703bca489c27;ТЭЦ ЧМК;;22;888;987
7864;32e90fbb-e27c-5a0a-9f7b-076647ef4e8b;ТЭЦ ЭВС-2 Северсталь;;22;821;914
7972;257957c0-8b22-56b8-95b2-d8e99133e927;ТЭЦ Энергоцентра Томилино;;22;823;938
8034;14acf8a3-47b2-5850-8c72-4d0a7bf5a7df;ТЭЦ Ярославский технический углерод;;22;892;992
7746;97fe4047-b669-572f-add3-0b1d9a594b88;Усинская ТЭЦ;;22;862;959
7924;e4c53ac5-2f63-5c09-a372-4813fe90e65e;УТЭЦ-2 ПАО «НЛМК»;;22;842;934
7797;86b79426-62e4-5a41-a602-44a28b83d2cb;УТЭЦ ВФ АО Апатит;;22;824;933
7880;ed02ae42-62fb-564b-9da7-2219c04db65f;УТЭЦ Котельного цеха;;22;822;915
7921;3b68c393-b4cb-556a-aab5-a454e96560b8;УТЭЦ НЛМК;;22;842;934
7871;3719dc60-110d-5403-b719-a1571e3d460f;УЭС ТСЦ Северсталь;;22;821;914
9018;68454382-e263-5bf4-9d4a-a9b223d7ae9a;Харвутинская ГТЭС-15;;22;883;991
9054;4daeb1f0-f222-5f10-9643-3fb0d5b59510;Холмская ТЭЦ;;22;874;973
9007;ce413d99-2c2d-527f-9fc7-f7fe7ddb2167;Чаяндинская УКПГ-3 (ЧЭСН 72 УКПГ-3);;22;866;963
8633;9065dcfe-f8f5-5916-8626-44829bcbf54e;Электростанция собственных нужд Приразломная;;22;883;986
7800;8eb7e807-2b32-5f43-8200-ee9994096714;Энергетический центр г. Санкт-Петербург;;22;824;971
7895;8893317a-ffc7-5b97-b783-0957593ad68f;Энергоблок 1.8 ХАЯТ;;22;832;923
8583;86f27ec3-5ded-50fb-80ec-6ff525cdf28d;Энергокомплекс г. Нижние Серги;;22;875;974
8116;5142d731-765f-5acc-ac22-829fb0a5468f;Энергостанция ПАО «Нижнекамскнефтехим»;;22;868;965
8123;eaac142b-1863-5c79-8b1c-ab5ebbbba017;Энергоцентр;;22;868;965
8590;d7ddb38b-653c-549b-ade6-0396cc663f83;Энергоцентр «Березовский»;;22;875;974
8318;215229be-9a02-5973-83c9-3046cca7011a;Энергоцентр Головной компании;;22;838;929
8025;b182e184-232e-5e17-9832-496511de9b69;Энергоцентр ООО «Каргилл»;;22;882;981
8500;530c34f1-5373-536e-a79c-fdaee4dba8ce;Энергоцентр с ГПГИ-4,3 МВт;;22;840;931
8329;72b25be3-963c-535d-881b-b70ec4009178;Энергоцентр ст. Выселки;;22;838;929
8070;6ad156d0-0b72-5b2d-949f-c33d613ae6f2;Энергоцентр ЧМПЗ;;22;852;947
8260;54e2ba6b-0a83-5801-ab7a-d6a2abe0bc9e;Эркен-Шахарская ТЭЦ;;22;834;925
7870;71c22095-344a-51cd-beb7-809afa513015;ЭСН КС-15 Нюксенского ЛПУ МГ;;22;821;914
7872;4f510cab-a76d-588f-9c02-762171a7c225;ЭСН КС-16 Юбилейного ЛПУ МГ Газпром;;22;821;914
7742;99ded59a-dc00-5ebd-af73-e67e8631380e;ЭСН КС «Синдорская»;;22;862;959
7736;3b099e31-75ad-5c27-8cfa-b200fa6d714c;ЭСН КС Вуктыльская;;22;862;959
7738;44b7fe75-2a34-5428-ab1a-3927f5fd4baf;ЭСН КС Микуньская;;22;862;959
7795;7a65ae38-8d7a-5c6e-9a8e-6b0c3c8629aa;ЭСН КС Портовая;;22;824;933
7737;0851e4cd-2a00-59c6-b12e-b708eccd8984;ЭСН КС Ухтинская;;22;862;959
8049;296f3d2c-489e-5891-b376-7b65d2b82467;ЭСН Торбеевского ЛПУМГ;;22;865;962
9016;385d51a9-745c-58a4-a183-b0aaa8b20038;Ямбургская ГТЭС;;22;883;991
7747;b0307356-220a-5f20-a27a-5fef6f51eea1;Ярегская ТЭЦ;;22;862;959
