year,oes,name,obl,emin,emax,ecur,H,ecurdis,Hdis,etp,kobl,kcur
2029,6,Чита,62,7400,7400,7400.00029845193,4642.99177967871,7400.00029845193,4642.99177967871,1922.75859059217,1,
2029,6,прочее,106,0,0,108867.873157556,5434.20713072332,108867.873157556,0,28666.6826767904,1,
2029,7,ЦЭР Якутии,79,,,,,,,,1,
2029,7,прочие,107,,,,,,,,1,
2029,9,Магадан,66,186.13248,186.13248,186.1329,581.6653125,186.1329,581.6653125,144.45,0.3679164128254,
2029,9,Камчатка,67,1866,1866,1866.00001320708,4242.83768350859,1866.00001320708,4242.83768350859,572.614317598347,1.49692112697708,
2029,9,Сахалин,68,2906.9,2906.9,2906.89999996739,4239.88016488609,2906.89999996739,4239.88016488609,635.44,1.21412502403591,
2029,9,Анадырь,82,134,134,134.000748620267,1964.82036100098,134.000748620267,1964.82036100098,27.0270002056861,1.2982878770969,
2029,9,ЧБЭУ,83,151,151,150.99,2745.27272727273,150.99,2745.27272727273,2.88,1.67711333333428,
2029,9,прочее,109,0,0,,,,0,,,
2030,1,Архангельская обл.,1,6556,6556,6555.9996199406,4175.5299789444,6555.9996199406,4175.5299789444,4657.41406849766,1.0410787704212,
2030,1,Республика Коми,4,10365,10365,10364.9998834669,4142.71892000213,10364.9998834669,4142.71892000213,2263.22194356151,1.02238642795331,
2030,1,Калининградская обл.,10,5560,5560,5560,2908.07146742541,5560,2908.07146742541,327.656316741285,0.970683840625904,
2030,1,прочие,101,0,0,41343.0432572347,4241.2621716736,41343.0432572347,,19338.8736284746,0.992248249040704,
2030,2,,18,75235,75235,75235,4527.85925871538,75235,4527.85925871538,41458.4303497134,1,
2030,2,прочие,102,0,0,111508.627053626,5375.57629570775,111508.627053626,,20816.7802157785,1,
2030,4,Крым,77,9423,9423,9423,4640.91173254795,9423,4640.91173254795,27.8344210840973,0.967925965971272,
2030,4,прочие,104,,,63759.7656585186,4525.97902045689,63759.7656585186,,7329.49967731372,1.00504796177909,
2030,5,Тюмень,53,104879,105020,105020.040807449,5978.69467802155,105020.040807449,5978.69467802155,6470.39139438493,1,
2030,5,прочие,105,0,0,159414.015139857,4948.39010149041,159414.015139857,,34861.4443223152,1,
2030,6,Иркутск,60,19990,20000,19990,4794.45483762652,19990,4794.45483762652,7485.75682574936,1,
2030,6,Бурятия,61,7050,7100,7082.28935509207,4956.91353758273,7082.28935509207,4956.91353758273,858.68,1,
2030,6,Чита,62,7400,7500,7500.00000131726,4705.73472287443,7500.00000131726,4705.73472287443,1922.75859059217,1,
2030,6,прочее,106,0,0,90492.599361132,4589.41879315963,90492.599361132,0,27347.8268060949,1,
2030,7,ЦЭР Якутии,79,0,0,2370.91990884077,5531.04208922465,2370.91990884077,5531.04208922465,744.772845108215,1,
2030,7,прочие,107,0,0,36458.2056805551,5785.49234337541,36458.2056805551,0,8293.928357756,1,
2030,9,Магадан,66,186.13248,186.13248,186.1329,581.6653125,186.1329,581.6653125,144.45,0.396504010015353,
2030,9,Камчатка,67,1872,1872,1872.00001253107,4256.48024677369,1872.00001253107,4256.48024677369,620.188842598953,1.40177240488313,
2030,9,Сахалин,68,2906.9,2906.9,2906.89999996943,4239.88016488907,2906.89999996943,4239.88016488907,635.44,1.13228158619002,
2030,9,Анадырь,82,134,134,134.000689175668,1964.8194893793,134.000689175668,1964.8194893793,27.0272085656824,1.21027925484683,
2030,9,ЧБЭУ,83,151,151,150.99,2745.27272727273,150.99,2745.27272727273,2.88,1.48411215897626,
2030,9,прочее,109,0,0,,,,0,,,
2031,1,Архангельская обл.,1,6587,6587,6586.99966868836,4195.27397534447,6586.99966868836,4195.27397534447,4657.41406849766,1.03776268641453,
2031,1,Республика Коми,4,10396,10396,10395.9999523123,4155.10913449039,10395.9999523123,4155.10913449039,2263.22194356151,1.01300885590289,
2031,1,Калининградская обл.,10,5639,5639,5639,2949.39118791581,5639,2949.39118791581,327.656316741285,0.968521914573653,
2031,1,прочие,101,,,41847.6657390477,4293.02991962997,41847.6657390477,,19338.8736284746,0.995399462091042,
2031,2,Московская обл.,18,,,96345.5816416214,5645.46283442897,96345.5816416214,5645.46283442897,41458.4303497134,1,
2031,2,прочие,102,0,0,97657.5643258882,4707.84818859207,97657.5643258882,,20816.7802157785,1,
2031,4,Крым,77,9491,9491,9491,4674.40234040248,9491,4674.40234040248,27.8344210840973,1.0188107914862,
2031,4,прочие,104,,,65946.9702214164,4526.99049291179,65946.9702214164,,7329.49967731372,0.997565441557305,
2031,5,Тюмень,53,,,,6118.20162748945,107520.137415997,6118.20162748945,6521.81082633359,1,
2031,5,прочие,105,0,0,,4906.27374038504,158561.587651076,,35149.7489433136,1,
2031,6,Иркутск,60,,,,4849.61865016549,20220,4849.61865016549,7559.85832574936,1,
2031,6,Бурятия,61,,,,4967.96830109489,7098.08406955534,4967.96830109489,858.68,1,
2031,6,Чита,62,,,,4642.99159253853,7400.00000018791,4642.99159253853,1922.75859059217,1,
2031,6,прочее,106,0,0,,4931.20567304049,98080.0042268466,0,27942.5607261503,1,
2031,7,ЦЭР Якутии,79,0,0,,5237.83558654988,2295.36097558699,5237.83558654988,1566.051087869,1,
2031,7,прочие,107,0,0,,5033.23522856144,31964.365636616,0,7490.03800037292,1,
2031,9,Магадан,66,186.13248,186.13248,186.1329,581.6653125,186.1329,581.6653125,144.45,0.333884999697992,
2031,9,Камчатка,67,1879,1879,1879.00003599782,4272.39662573402,1879.00003599782,4272.39662573402,637.809037043622,1.57128729526756,
2031,9,Сахалин,68,2906.9,2906.9,2906.89999992579,4239.88016482541,2906.89999992579,4239.88016482541,635.44,1.26315385872424,
2031,9,Анадырь,82,134,134,133.999032633069,1964.79519989837,133.999032633069,1964.79519989837,27.0274169256788,1.34951359796651,
2031,9,ЧБЭУ,83,151,151,150.99,2745.27272727273,150.99,2745.27272727273,2.88,1.95012803990717,
2031,9,прочее,109,0,0,,,,0,,,
