numb1120	v	year	y	snk	sntp	bk	btp	snbas	Ksn	bbas	Kh
310	0	2022	279.766051887855	4.90681485641655	0.746552666972111	371.403118040089	371.403118040089	0	0	0	0
312	0	2022	436.565773871763	6.89123072349116	0.815096397826425	430.662250762327	329.768229358014	0	0	0	0
315	0	2022	452.614322691976	8.60588548711013	0.800456071355594	390.472025606056	289.649071919272	0	0	0	0
318	0	2022	643.506509560376	7.86722637104791	0.82128731933407	479.122430233753	352.250543466849	0	0	0	0
319	0	2022	570.589875789278	5.99840926658228	0.846742419326815	368.302342332623	258.236130425921	0	0	0	0
323	0	2022	457.555393383686	5.05970538955782	0.837207232285587	339.417657889512	238.133032214412	0	0	0	0
325	0	2022	89.7442718916776	2.78866162625488	0.386125041303452	337.30338936212	247.738503228438	0	0	0	0
327	0	2022	476.056248266511	7.68043582667808	0.826935427200289	434.770480128576	333.408285376168	0	0	0	0
328	0	2022	574.963382841235	5.70864834813132	0.857463288629781	351.396322750088	239.985311207749	0	0	0	0
329	0	2022	178.988747518117	3.15923092270938	0.686353314612133	255.067130859676	255.067130859676	0	0	0	0
330	0	2022	182.092704347826	6.4	0.41070617092746	298.7	298.7	0	0	0	0
332	0	2022	0	7.27492763162936	0	377.44229014757	0	0	0	0	0
340	0	2022	425.705862263638	6.41866208570817	0.848756725737766	412.483912428775	291.791423481041	0	0	0	0
343	0	2022	427.536991130879	6.72395583293327	0.848120073690143	395.167659974831	264.226220712682	0	0	0	0
346	0	2022	518.252936068556	4.94982873228768	0.89111157325226	368.365669862917	252.733571810251	0	0	0	0
347	0	2022	315.189712182444	4.07574549714268	0.875499073095333	419.682486866706	262.733593379863	0	0	0	0
350	0	2022	99.6212756128947	14.6632476843372	0.794233083887174	157.738683534295	157.738683534295	0	0	0	0
352	0	2022	526.605246854515	5.00451163722775	0.857635565669262	324.139581821446	240.637658720761	0	0	0	0
354	0	2022	0		0		0	0	0	0	0
355	0	2022	107.898874415602	6.27051549089957	0.770829223860606	484.108312260821	344.143333028951	0	0	0	0
357	0	2022	547.745317107841	6.42994872810523	0.869236674028535	378.002817138497	273.672225751708	0	0	0	0
358	0	2022	682.305715120241	10.1598287344188	0.793579262134533	606.233286433031	482.853644745284	0	0	0	0
362	0	2022	540.344281876997	6.63526190935944	0.851800984332084	399.199778163955	286.820664009843	0	0	0	0
363	0	2022	152.405835845585	6.5998943632551	0.672513207844442	356.015396256705	244.608351323461	0	0	0	0
433	0	2022	1300	2	0.95	280	260	0	0	0	0
847	0	2022	554.274527692249	10.0644468790058	0.705819975395303	420.699153903765	326.008426661526	0	0	0	0
849	0	2022	0	3.78293017642499	0	194.671500727742	0	0	0	0	0
1094	0	2022	1310.33994350075	3.73708468507369	0.941048017492641	226.186011370381	177.017425962173	0	0	0	0
1095	0	2022	374.873959391042	5.52144519647439	0.857350539808648	475.651753142441	351.656785645133	0	0	0	0
1205	0	2022	242.19992773985	11.6781909923379	0.650986480617114	473.650132015922	389.13471056201	0	0	0	0
1231	0	2022	1062.50951342026	9.54228546869777	0.876378873979275	294.29633968587	294.29633968587	0	0	0	0
1245	0	2022	175.961789791549	1.4981370190569	0.930166205619623	350.372062065494	350.372062065494	0	0	0	0
1266	0	2022	0		0		0	0	0	0	0
1295	0	2022	1198.4165093243	2.52778664092039	0.927845037302021	240.109391790335	171.644296732269	0	0	0	0
1296	0	2022	277.686028294441	3.796679766322	0.774119604074317	375.356747114001	257.083765478131	0	0	0	0
1297	0	2022	0	5.12090092226538	0	198.322319490843	0	0	0	0	0
