NUMB1120	YearN	H	HFIX	NUST	OES
2070	2023	2176.8	1	139.46	7
2072	2023	2468.1	1	2.166	3
2073	2023	322.9	1	12	1
2074	2023	50.8	1	9	1
2075	2023	53	1	9	1
3003	2023	2118.3	1	21	1
3011	2023	7326.9	1	206.4	6
3030	2023	3322.3	1	16	5
3041	2023	5037.7	1	12.45	2
3055	2023	287.1	1	7.5	2
3056	2023	7660.2	1	16	2
3063	2023	4279.3	1	7.276	4
3064	2023	3807.1	1	6.07	6
3065	2023		1	86	4
3068	2023		1	33	4
3087	2023	4422.2	1	24	3
3088	2023	4739.8	1	13.69	2
3089	2023	4867.6	1	23.49	3
3095	2023	526.9	1	10.8	4
3099	2023	2014.1	1	2.7	1
3115	2023	5614.7	1	6.5	1
3116	2023	1247.8	1	4.6	1
3119	2023	3236.3	1	33.771	4
3132	2023	4698.5	1	12	3
3133	2023	536	1	7.5	2
3136	2023	2634.3	1	6.7	2
3138	2023	8037.6	1	24	6
3139	2023	7960.5	1	24	6
3140	2023	6867.3	1	100	1
3141	2023	3956.2	1	6	1
3142	2023	2544.9	1	2.3	1
3144	2023	15.4	1	2.4	1
3160	2023	8178.3	1	15	1
3170	2023	3565.9	1	14	3
3173	2023	1062.5	1	6	4
3174	2023	3870.4	1	12.08	4
3175	2023	7158.6	1	2.118	2
3180	2023	5304.1	1	52.745	4
3181	2023	4530.7	1	2.25	4
3183	2023	3388.5	1	7.054	4
3202	2023	105.9	1	10.5	1
3204	2023	4659	1	25.218	4
3207	2023	6210.8	1	6.1	7
3209	2023	3515.5	1	7.93	4
3214	2023	6010.3	1	12	1
3222	2023	1204.7	1	33.9	4
3223	2023	2549.2	1	8	4
3226	2023	6586.2	1	48.4	4
3227	2023	1980.9	1	8.18	3
3230	2023		1	1.1	6
3240	2023	5659.5	1	3.9	4
7	2024	4354.4	1	182	1
10	2024	4143.2	1	305	1
22	2024	4245.9	1	24	1
25	2024	273.3	1	22	1
39	2024	5271.9	1	572.7	1
41	2024		1	27.4	4
43	2024	2654.3	1	23.259	2
55	2024	7234	1	20.5	1
78	2024	6324.5	1	20	1
79	2024	5003.6	1	78	1
82	2024	1728.9	1	18	1
84	2024	5127.2	1	93	1
85	2024	2432.5	1	24	1
86	2024	4725.9	1	22.8	1
90	2024		1	8.5	1
115	2024	8540.8	1	345.81	2
120	2024	1201.2	1	3	2
126	2024	1905	1	656.213	2
127	2024		1	4.3	3
164	2024	8141.9	1	12	1
204	2024	479.5	1	24	2
209	2024	3542.9	1	24.7	2
212	2024	8442.4	1	32.1	1
226	2024	2380.9	1	400	2
231	2024	5646.3	1	219.65	2
234	2024	7240.1	1	24.9	2
241	2024	3866.7	1	101.5	2
242	2024	5737	1	24	2
273	2024		1	12	2
282	2024		1	121	4
325	2024	5074.4	1	20.5	3
382	2024		1	16	4
580	2024	3774.9	1	200	6
582	2024	2263.1	1	18	6
612	2024	6113.1	1	24.8	6
613	2024	2676.3	1	85	6
631	2024	2197.9	1	17	6
