NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v	EOTP	EURT	EUST	TURT	TUST	B	GAZ	MAZUT	PROCH	UGOL	PECH	KUZN	KAN	URAL
	2031	167	167	492.853253286548	214.635814596181	667.45	620	2951.21708554819		94	2	34	3	340	941	0	430.255126447262	391.588902495587	168.483132758583	157.683336161654	105.245742721096	273.728875479679	273.728875479679	0	0	0	0	0	0	0
	2031	40	20	136.545449670051	117	125	125	3413.63624175129		90	2	34	3	1231	942	0	124.767028279989	269.451683966602	33.6186858735517	149.369977402511	18.6712471753139	52.2899330488656	52.2899330488656	0	0	0	0	0	0	0
	2031			0	0	1430.21		4800		95	2	34	3	1888	942.2	0	0	0	0	151.491493107895	216.664648357843	216.664648357843	216.664648357843	0	0	0	0	0	0	0
	2031	246	246	1679.67324	756	700	630	6827.94		91	2	34	3	1751	942.5	0	1595.87589895389	212.160745842726	338.582220994488	147.137150526964	102.996005368875	441.578226363363	441.578226363363	0	0	0	0	0	0	0
	2031	165	165	612.727577263067	336.456842644706	807.59	800	3713.50046826101		94	2	34	3	343	944	0	531.198344543846	356.444599626808	189.342781243355	145.11439998791	117.192938286236	306.535719529591	306.413105241779	0	0	0.122614287811836	0	0.122614287811836	0	0
	2031			0	0	846.6		4800		95	2	34	3	1889	946	0	0	0	0	1054.37543848096	892.634246217983	892.634246217983	892.634246217983	0	0	0	0	0	0	0
	2031	220	220	1628	1177.14208322907	900	900	7400	1	91	2	34	3	1094	949	0	1548.72221495352	186.699908908073	289.146296455731	146.508080532618	131.857272479356	421.003568935087	421.003568935087	0	0	0	0	0	0	0
	2031			0	0	145		4800		95	2	34	3	344	951	0	0	0	0	196.305288832031	28.4642668806445	28.4642668806445	28.4642668806445	0	0	0	0	0	0	0
	2031	384	384	1426.36488629212	681.29375104776	2171.8	1900	3714.49189138573		94	2	34	3	1095	955	0	1293.91313672547	397.897812455072	514.845206609946	158.652749530144	344.562041429566	859.407248039513	854.680508175295	4.72673986421732	0	0	0	0	0	0
	2031	405.6	405.6	2920.32	1787.5	650	650	7200	1	90	2	34	3	1298	958	0	2765.56763452474	148.820687562948	411.573676871806	153.603163768484	99.8420564495147	511.41573332132	511.41573332132	0	0	0	0	0	0	0
	2031	1180	1180	4545.33166502821	2087.40925070359	4142.23	4100	3851.97598731204		94	2	34	3	346	959	0	4183.65050814771	322.567040442498	1349.50776265896	128.937305316567	534.087974201445	1883.59573686041	1880.39362410774	3.20211275266269	0	0	0	0	0	0
	2031	882	882	4855.10336432638	3913.44776823394	16649	12500	5504.6523405061		94	2	34	3	347	961	0	4295.4217336614	296.329741329086	1272.86121123522	144.013732367559	2397.6846301875	3670.54584142271	2385.85479692476	73.4109168284543	0	0	0	0	0	0
	2031	724	311	1731.19903034518	1440	4879.31	4000	2391.15888169224		94	2	34	3	1961	963.5	0	1572.63907882792	343.414846910949	540.067608501866	150.429759117847	733.993427961301	1274.06103646317	828.139673701059	25.4812207292633	0	0	0	0	0	0
	2031			0	0			5800		91	2	34	3	1962	963.75	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0
	2031	12	7.82064516129032	2.74345847554039	24.4957228346457	196	196	228.621539628366		10	3	34	3	350	967	0	0.889428040183319	156.221432199086	0.138947722275464	157.73	30.91508	31.0540277222755	31.0540277222755	0	0	0	0	0	0	0
	2031	23.496	21.555	114.19056	0	80	70	4860	1	89	3	34	3	3089	967.1	0	111.873041928619	186.1303833982	20.8229721860968	193.028449979974	15.4422759983979	36.2652481844947	36.2652481844947	0	0	0	0	0	0	0
	2031	12	4.01893548387097	55.2	0			4600	1	92	3	34	3	3132	968	0	49.8211574348095	469.779977539631	23.4049822207232		0	23.4049822207232	2.28666676296466	0	0	0	0	0	0	0
	2031	28	8.23655913978495	79.52	58.5	45	45	2840	1	89	3	34	3	1571	970	0	20.5540774136888	141.95751287853	2.91780570916004	158.673686849693	7.14031590823618	10.0581216173962	10.0581216173962	0	0	0	0	0	0	0
	2031	67.259	1.37581179926035	580.44517	0	440	340	8630	1	90	3	34	3	1588	970.5	0	570.941549950997	260.602056770369	148.788542212892	133.494751661785	58.7376907311853	207.526232944078	207.526232944078	0	0	0	0	0	0	0
	2031	494.783	424.07613844086	3300.20261	0			6670	1	91	3	34	3	433	970.53	0	3166.70332768453	252.577869330158	799.839179307278	130	0	799.839179307278	799.839179307278	0	0	0	0	0	0	0
	2031	42.99	39.8691196236559	316.8363	0	340	340	7370	1	90	3	34	3	3155	970.6	0	307.382678946727	225.155193676709	69.2088066111157	160	54.4	123.608806611116	123.608806611116	0	0	0	0	0	0	0
