name	year	filter	e	kplus	kmin	k	bkl	wname	uname	toplname	dopname	byear	kn	knps	kngt	knpg	hnps	hngt	hnpg	numb	WT_RECID	doptim	lim
ТЭС Южэнерго	2029	(oes=4) and (ved>0)	71290			0.890734863281245	365	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.41972122246985	1.17019491780042	1.2765762739641	1.44678644382598	5500	6000	6800	332		0.2	1
ТЭС Севзапэнерго	2031	(oes=1) and (ved>0)	64470			1.01688232421875	415	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.14688845983826	1.14688845983826	1.09808469558983	1.09808469558983	4700	4500	4500	34		0.24	1
ТЭС Севзапэнерго	2026	(oes=1) and (ved>0)	61030	0	0	1.02984313952344	415	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.08469790940753	1.08469790940753	1.03304562800717	1.16217633150806	4200	4000	4500	29		0.11	1
ТЭС Севзапэнерго	2027	(oes=1) and (ved>0)	61564	0	0	1.0274169921875	415	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.14991851407711	1.14991851407711	1.0732572798053	1.27768723786345	4500	4200	5000	30		0.14	1
ТЭС Севзапэнерго	2028	(oes=1) and (ved>0)	61880			1.02597045898438	415	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.19488627497235	1.19488627497235	1.01692448933817	1.14404005050544	4700	4000	4500	31		0.17	1
ТЭС Севзапэнерго	2029	(oes=1) and (ved>0)	62425			1.02389831542969	415	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.18446045364314	1.18446045364314	1.13405788114769	1.13405788114769	4700	4500	4500	32		0.2	1
ТЭС Севзапэнерго	2030	(oes=1) and (ved>0)	63824			1.01925048828125	415	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.15848965389418	1.15848965389418	1.10919222181358	1.10919222181358	4700	4500	4500	33		0.23	1
ТЭС Уралэнерго	2031	(oes=5) and (ved>0)	285980			0.907058715820313	370	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.12385845513672	1.12385845513672	1.14114858521575	1.12385845513672	6500	6600	6500	434		0.26	0
ТЭС Уралэнерго	2026	(oes=5) and (ved>0)	262271	0	0	0.956146240640624	370	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.14185175916196	1.14185175916196	1.17991348446736	1.23700607242545	6000	6200	6500	429		0.11	0
ТЭС Уралэнерго	2027	(oes=5) and (ved>0)	270071	0	0	0.925988769531251	370	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.09580993146247	1.09580993146247	1.15060042803559	1.20539092460871	6000	6300	6600	430		0.14	0
ТЭС Уралэнерго	2028	(oes=5) and (ved>0)	278305.021126449			0.91319580078125	370	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.10155090109104	1.10155090109104	1.15485175114383	1.15485175114383	6200	6500	6500	431		0.17	0
ТЭС Уралэнерго	2029	(oes=5) and (ved>0)	280515			0.911169433593749	370	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.09287256225157	1.09287256225157	1.11049953906208	1.1457534926831	6200	6300	6500	432		0.2	0
ТЭС Уралэнерго	2030	(oes=5) and (ved>0)	283606			0.908587646484375	370	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.09839628992334	1.09839628992334	1.09839628992334	1.13326601341297	6300	6300	6500	433		0.26	0
ТЭС Центрэнерго	2031	(oes=2) and (ved>0)	193503			0.843097534460938	400	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.31735944432491	1.23196745321778	1.0559721027581	1.36885272579753	6300	5400	7000	134		0.26	0
ТЭС Центрэнерго	2026	(oes=2) and (ved>0)	166880	0	0	0.876964355343749	400	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.07236298537872	1.07236298537872	1.07236298537872	1.39407188099233	5000	5000	6500	129		0.11	0
ТЭС Центрэнерго	2027	(oes=2) and (ved>0)	171690	0	0	0.878839111421873	400	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.21946231347196	1.21946231347196	1.05126061506203	1.38766401188188	5800	5000	6600	130		0.14	0
ТЭС Центрэнерго	2028	(oes=2) and (ved>0)	181456			0.8854248046875	400	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.35025189864845	1.27547967220704	1.04918489165418	1.41948544164977	6200	5100	6900	131		0.17	0
